,mahalle,fiyat,brut_alan_m2,net_alan_m2,oda_sayisi,bina_yas,dairenin_bulundugu_kat,bina_kat_sayisi,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,aidat,depozito,sahibi
220,Dutlubahçe Mh.,15000.0,100.0,90.0,2+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,1,1,Açık Otopark,1,1,400,15000,1
221,Yüksekalan Mh.,19000.0,75.0,65.0,2+1,1,Giriş Katı,3.0,Kombi (Doğalgaz),1.0,0,0,Kapalı Otopark,1,0,250,0,0
222,Çağlayan Mh.,27000.0,320.0,290.0,4+2,16-20 arası,6,6.0,Klima,3.0,1,1,Açık Otopark,0,1,0,30000,0
223,Cumhuriyet Mah.,11000.0,95.0,90.0,2+1,16-20 arası,Yüksek Giriş,4.0,Klima,1.0,1,0,Açık Otopark,0,0,100,22000,0
224,Meltem Mah.,32000.0,125.0,120.0,3+1,16-20 arası,1,6.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,0,27000,0
225,Güzeloba Mh.,25000.0,150.0,130.0,3+1,11-15 arası,3,7.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,600,25000,0
226,Çağlayan Mh.,22500.0,230.0,200.0,6+1,16-20 arası,Bahçe Katı,5.0,Klima,3.0,1,1,Açık & Kapalı Otopark,1,0,150,45000,0
227,Sinan Mah.,16500.0,55.0,45.0,1+1,0,4,5.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,16500,0
228,Yeşilbahçe Mh.,28500.0,160.0,140.0,3+1,16-20 arası,1,4.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,100,40000,0
229,Güzeloba Mh.,20000.0,150.0,125.0,3+1,16-20 arası,12,12.0,Klima,1.0,1,1,Açık & Kapalı Otopark,1,0,500,60000,0
230,Şirinyalı Mh.,25000.0,170.0,160.0,3+1,21-25 arası,3,4.0,Klima,1.0,1,0,Açık Otopark,0,0,200,25000,0
231,Güzeloba Mh.,20000.0,55.0,50.0,1+1,5-10 arası,Bahçe Katı,3.0,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,1,0,0,18000,0
